Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
193,4.768,1673.0,14.66,3061.0,99.97,0.0,0.0,0.0,4.768,1267.31,1144.98
194,4.721,1631.0,15.27,3067.0,99.57,0.0,0.0,0.0,4.721,1257.75,1098.65
195,4.754,1709.0,13.28,3062.0,100.0,0.0,0.0,0.0,4.754,1256.73,1138.42
196,4.753,1700.0,14.94,3065.0,99.99,0.0,0.0,0.0,4.753,1257.98,1133.75
197,4.736,1622.0,13.52,3066.0,99.64,0.0,0.0,0.0,4.736,1255.78,1102.2
198,4.771,1676.0,13.76,3062.0,99.99,0.0,0.0,0.0,4.771,1267.88,1128.15
199,4.762,1687.0,14.5,3064.0,99.96,0.0,0.0,0.0,4.762,1257.75,1138.9
200,4.759,1676.0,14.85,3065.0,99.75,0.0,0.0,0.0,4.759,1266.95,1126.08
201,4.791,1709.0,27.35,3062.0,100.0,0.0,0.0,0.0,4.791,1262.12,1141.46
202,4.771,1684.0,14.59,3062.0,100.0,0.0,0.0,0.0,4.771,1268.16,1144.26
203,4.695,1632.0,15.87,3069.0,99.34,0.0,0.0,0.0,4.695,1254.41,1089.35
204,4.738,1687.0,13.81,3064.0,99.81,0.0,0.0,0.0,4.738,1255.95,1123.2
205,4.723,1681.0,15.25,3065.0,99.9,0.0,0.0,0.0,4.723,1259.85,1120.92
206,4.698,1631.0,16.04,3067.0,99.04,0.0,0.0,0.0,4.698,1254.55,1092.64
207,4.739,1684.0,16.12,3065.0,99.92,0.0,0.0,0.0,4.739,1270.22,1123.0
208,4.751,1684.0,14.98,3063.0,99.89,0.0,0.0,0.0,4.751,1262.37,1126.35
209,4.747,1653.0,17.0,3067.0,99.73,0.001,712.0,0.53,4.748,1271.3,1103.73
210,4.739,1640.0,14.14,3065.0,99.77,0.0,0.0,0.0,4.739,1251.45,1114.73
211,4.738,1681.0,16.78,3065.0,99.92,0.0,709.0,0.43,4.738,1271.33,1127.14
212,4.788,1682.0,12.81,3062.0,100.0,0.0,0.0,0.0,4.788,1258.18,1142.61
213,4.746,1594.0,13.18,3063.0,99.66,0.0,0.0,0.0,4.746,1242.82,1117.52
214,4.742,1666.0,16.31,3064.0,99.87,0.0,0.0,0.0,4.742,1266.74,1128.79
215,4.769,1654.0,13.73,3063.0,100.0,0.0,0.0,0.0,4.769,1257.81,1132.97
216,4.741,1615.0,13.95,3067.0,99.49,0.0,0.0,0.0,4.741,1252.59,1103.58
217,4.714,1670.0,16.13,3068.0,99.93,0.0,0.0,0.0,4.714,1260.22,1113.34
218,4.688,1707.0,17.82,3069.0,99.89,0.0,0.0,0.0,4.688,1251.22,1109.5
219,4.732,1612.0,14.85,3066.0,99.64,0.0,0.0,0.0,4.732,1259.18,1096.72
220,4.754,1666.0,14.42,3064.0,99.68,0.0,0.0,0.0,4.754,1266.68,1119.23
221,4.768,1666.0,13.95,3063.0,99.83,0.0,0.0,0.0,4.768,1269.89,1130.72
222,4.771,1667.0,14.98,3063.0,100.0,0.0,0.0,0.0,4.771,1263.46,1143.32
223,4.759,1613.0,13.88,3066.0,99.88,0.0,0.0,0.0,4.759,1262.28,1108.2
224,4.73,1692.0,15.97,3067.0,99.94,0.0,0.0,0.0,4.73,1257.63,1114.41
225,4.765,1697.0,14.7,3064.0,99.99,0.0,0.0,0.0,4.765,1258.84,1130.65
226,4.728,1640.0,15.05,3067.0,99.31,0.0,0.0,0.0,4.728,1257.41,1097.7
227,4.725,1651.0,14.79,3065.0,99.6,0.0,0.0,0.0,4.725,1258.61,1109.87
228,4.743,1719.0,14.97,3065.0,99.9,0.0,0.0,0.0,4.743,1259.27,1135.88
229,4.762,1678.0,14.12,3065.0,99.76,0.0,0.0,0.0,4.762,1259.13,1125.55
230,4.754,1649.0,26.1,3066.0,99.47,0.0,0.0,0.0,4.754,1247.51,1103.14
231,4.758,1648.0,13.92,3064.0,99.95,0.0,0.0,0.0,4.758,1262.88,1133.58
232,4.78,1657.0,13.43,3062.0,100.0,0.0,0.0,0.0,4.78,1256.53,1143.95
233,4.779,1604.0,12.04,3063.0,99.57,0.0,0.0,0.0,4.779,1252.18,1116.59
234,4.74,1623.0,13.6,3064.0,99.74,0.0,0.0,0.0,4.74,1252.54,1114.64
235,4.744,1689.0,15.46,3064.0,99.91,0.0,0.0,0.0,4.744,1264.0,1137.68
236,5.06,1690.0,19.09,3063.0,99.9,0.0,0.0,0.0,5.06,1267.09,1107.72
237,4.731,1641.0,14.92,3067.0,99.33,0.0,0.0,0.0,4.731,1261.16,1094.94
238,4.717,1650.0,16.54,3067.0,99.9,0.0,0.0,0.0,4.717,1260.93,1115.21
239,4.775,1649.0,14.98,3061.0,100.0,0.0,713.0,0.53,4.775,1254.38,1130.85
240,4.769,1650.0,13.27,3064.0,99.9,0.0,0.0,0.0,4.769,1256.16,1129.23
241,4.726,1636.0,17.51,3068.0,99.54,0.001,711.0,0.32,4.727,1266.41,1096.7
