Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
294,0.025,1014.0,10.6,608.0,1.17,0.0,0.0,0.0,0.025
295,0.016,1001.0,6.43,611.0,1.12,0.0,0.0,0.0,0.016
296,0.029,1046.0,13.03,619.0,0.92,0.0,0.0,0.0,0.029
297,0.027,1041.0,11.54,618.0,1.31,0.0,0.0,0.0,0.027
298,0.026,1038.0,11.11,612.0,1.33,0.0,0.0,0.0,0.026
299,0.027,1038.0,11.42,615.0,1.12,0.0,0.0,0.0,0.027
300,0.028,1043.0,13.38,618.0,0.94,0.0,0.0,0.0,0.028
301,0.027,1038.0,11.54,618.0,1.05,0.0,0.0,0.0,0.027
302,0.026,1040.0,11.46,613.0,1.12,0.0,0.0,0.0,0.026
303,0.024,1036.0,12.38,610.0,0.75,0.0,0.0,0.0,0.024
304,0.025,1042.0,11.22,612.0,1.16,0.0,0.0,0.0,0.025
305,0.024,1048.0,10.24,610.0,1.45,0.0,0.0,0.0,0.024
306,0.026,1039.0,10.43,611.0,1.09,0.0,0.0,0.0,0.026
307,0.027,1040.0,13.3,619.0,0.93,0.0,0.0,0.0,0.027
308,0.026,1037.0,11.15,619.0,0.91,0.0,0.0,0.0,0.026
309,0.027,1045.0,12.07,617.0,1.32,0.0,0.0,0.0,0.027
310,0.024,1032.0,9.57,609.0,1.07,0.0,0.0,0.0,0.024
311,0.01,980.0,3.32,609.0,1.32,0.0,0.0,0.0,0.01
312,0.031,1042.0,11.81,726.0,1.56,0.0,712.0,0.42,0.031
313,0.028,1044.0,11.6,615.0,1.06,0.0,0.0,0.0,0.028
314,0.026,1044.0,11.15,617.0,1.28,0.0,0.0,0.0,0.026
315,0.024,1038.0,10.91,611.0,1.09,0.0,0.0,0.0,0.024
316,0.025,1040.0,10.83,619.0,0.91,0.0,0.0,0.0,0.025
317,0.027,1042.0,10.97,618.0,1.21,0.0,0.0,0.0,0.027
318,0.024,1034.0,13.2,611.0,0.8,0.0,0.0,0.0,0.024
319,0.026,1039.0,11.48,612.0,1.36,0.0,0.0,0.0,0.026
320,0.025,1040.0,10.76,613.0,1.18,0.0,0.0,0.0,0.025
321,0.026,1038.0,11.37,613.0,1.16,0.0,0.0,0.0,0.026
322,0.031,1041.0,20.0,610.0,1.13,0.0,0.0,0.0,0.031
323,0.033,1041.0,22.13,611.0,1.09,0.0,0.0,0.0,0.033
324,0.025,1038.0,10.88,619.0,0.94,0.0,0.0,0.0,0.025
325,0.023,1036.0,11.81,615.0,0.6,0.0,0.0,0.0,0.023
326,0.024,1043.0,10.54,619.0,0.97,0.0,0.0,0.0,0.024
327,0.017,997.0,6.74,609.0,0.95,0.0,0.0,0.0,0.017
328,0.02,1012.0,6.56,612.0,1.08,0.0,0.0,0.0,0.02
329,0.027,1040.0,11.26,618.0,1.45,0.0,0.0,0.0,0.027
330,0.026,1038.0,10.76,612.0,1.05,0.0,0.0,0.0,0.026
331,0.024,1045.0,10.59,617.0,1.15,0.0,0.0,0.0,0.024
332,0.025,1038.0,10.45,611.0,1.1,0.0,0.0,0.0,0.025
333,0.025,1041.0,11.06,618.0,0.93,0.0,0.0,0.0,0.025
334,0.026,1044.0,11.33,618.0,0.91,0.0,0.0,0.0,0.026
335,0.024,1038.0,9.85,618.0,1.31,0.0,0.0,0.0,0.024
336,0.026,1043.0,10.72,613.0,1.05,0.0,0.0,0.0,0.026
337,0.03,1044.0,13.63,618.0,0.93,0.0,0.0,0.0,0.03
338,0.026,1039.0,10.9,618.0,0.91,0.0,0.0,0.0,0.026
339,0.027,1040.0,13.02,619.0,0.9,0.0,0.0,0.0,0.027
340,0.026,1039.0,10.54,619.0,1.1,0.0,0.0,0.0,0.026
341,0.023,1035.0,12.13,611.0,0.63,0.0,0.0,0.0,0.023
342,0.027,1046.0,12.09,613.0,1.24,0.0,0.0,0.0,0.027
343,0.024,1038.0,9.43,607.0,1.12,0.0,0.0,0.0,0.024
344,0.011,979.0,3.61,610.0,1.27,0.0,0.0,0.0,0.011
345,0.023,1035.0,9.03,612.0,1.05,0.0,0.0,0.0,0.023
