Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
147,4.845,1677.0,19.54,3066.0,100.0,0.0,0.0,0.0,4.845,1256.76,1150.72,false
148,4.84,1660.0,19.02,3066.0,100.0,0.0,0.0,0.0,4.84,1255.83,1148.38,false
149,4.852,1682.0,20.69,3066.0,100.0,0.0,0.0,0.0,4.852,1255.79,1159.37,false
150,4.822,1676.0,20.96,3067.0,99.86,0.0,0.0,0.0,4.822,1252.41,1145.05,false
151,4.817,1683.0,23.53,3067.0,99.9,0.0,709.0,0.22,4.817,1264.4,1151.93,false
152,4.821,1689.0,20.21,3067.0,99.81,0.0,0.0,0.0,4.821,1252.06,1152.35,false
153,4.838,1692.0,33.32,3068.0,99.85,0.001,710.0,0.75,4.839,1253.63,1156.46,false
154,5.096,1707.0,65.0,3067.0,99.85,0.0,0.0,0.0,5.096,1245.51,1159.97,false
155,4.79,1692.0,26.24,3069.0,99.68,0.0,712.0,0.32,4.79,1239.99,1152.81,false
156,4.834,1666.0,21.16,3068.0,100.0,0.0,0.0,0.0,4.834,1248.48,1154.96,false
157,4.835,1687.0,21.81,3067.0,99.87,0.0,0.0,0.0,4.835,1254.03,1154.08,false
158,4.825,1663.0,19.7,3067.0,99.89,0.0,0.0,0.0,4.825,1256.59,1150.13,false
159,4.805,1695.0,22.48,3068.0,99.73,0.0,0.0,0.0,4.805,1244.03,1150.56,false
160,4.849,1671.0,19.27,3066.0,100.0,0.0,0.0,0.0,4.849,1264.74,1154.14,false
161,4.829,1683.0,20.04,3067.0,99.87,0.0,709.0,0.22,4.829,1247.91,1149.8,false
162,4.803,1688.0,21.49,3069.0,99.85,0.0,0.0,0.0,4.803,1245.73,1150.79,false
163,4.855,1685.0,20.02,3066.0,100.0,0.0,0.0,0.0,4.855,1260.43,1155.79,false
164,4.848,1674.0,19.28,3066.0,100.0,0.0,0.0,0.0,4.848,1257.94,1150.01,false
165,4.817,1663.0,18.91,3067.0,99.83,0.0,0.0,0.0,4.817,1252.61,1153.74,false
166,4.839,1664.0,16.93,3066.0,100.0,0.0,0.0,0.0,4.839,1261.35,1151.28,false
167,4.833,1698.0,22.89,3067.0,99.85,0.0,709.0,0.22,4.833,1254.97,1157.29,false
168,4.848,1670.0,19.89,3066.0,100.0,0.0,0.0,0.0,4.848,1263.36,1149.63,false
169,4.849,1681.0,20.33,3066.0,100.0,0.0,708.0,0.22,4.849,1254.56,1152.23,false
170,4.85,1640.0,19.82,3066.0,100.0,0.0,0.0,0.0,4.85,1257.67,1149.53,false
171,4.803,1687.0,22.75,3068.0,99.86,0.0,0.0,0.0,4.803,1252.11,1155.22,false
172,4.82,1677.0,21.76,3067.0,99.86,0.0,0.0,0.0,4.82,1257.83,1151.91,false
173,4.792,1699.0,22.4,3069.0,99.63,0.0,0.0,0.0,4.792,1254.12,1154.66,false
174,4.83,1660.0,20.58,3067.0,99.81,0.0,0.0,0.0,4.83,1247.8,1152.24,false
175,4.839,1684.0,20.69,3067.0,100.0,0.0,0.0,0.0,4.839,1256.61,1149.55,false
176,4.85,1661.0,19.17,3066.0,100.0,0.0,0.0,0.0,4.85,1255.14,1147.17,false
177,4.803,1679.0,22.9,3068.0,99.66,0.0,0.0,0.0,4.803,1253.61,1153.28,false
178,4.926,1722.0,21.14,3058.0,100.0,0.0,0.0,0.0,4.926,1377.72,1139.92,false
179,4.911,1723.0,22.16,3059.0,100.0,0.0,0.0,0.0,4.911,1387.54,1153.6,false
180,4.902,1746.0,20.64,3058.0,99.94,0.0,0.0,0.0,4.902,1373.7,1150.2,false
181,4.818,1674.0,19.59,3067.0,99.86,0.0,0.0,0.0,4.818,1269.57,1146.39,false
182,4.806,1684.0,23.01,3068.0,99.85,0.0,712.0,0.31,4.806,1243.03,1147.9,false
183,4.87,1661.0,32.82,3067.0,100.0,0.0,0.0,0.0,4.87,1251.83,1161.51,false
184,4.834,1681.0,21.61,3067.0,99.84,0.0,709.0,0.22,4.834,1251.92,1142.25,false
185,4.814,1681.0,19.25,3067.0,99.8,0.0,0.0,0.0,4.814,1231.12,1152.92,false
