Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
162,4.94,1859.0,21.15,3058.0,100.0,0.0,0.0,0.0,4.94,194.58,1144.57,1153.18
163,4.916,1906.0,20.87,3057.0,100.0,0.0,0.0,0.0,4.916,191.39,1143.57,1140.16
164,4.928,1895.0,20.26,3057.0,100.0,0.0,0.0,0.0,4.928,193.38,1140.78,1152.75
165,4.935,1863.0,21.87,3059.0,100.0,0.0,0.0,0.0,4.935,195.06,1147.78,1148.86
166,4.857,1886.0,21.7,3062.0,100.0,0.0,0.0,0.0,4.857,191.22,1137.49,1144.95
167,4.914,1826.0,20.11,3059.0,100.0,0.0,0.0,0.0,4.914,193.12,1147.89,1138.59
168,4.948,1846.0,19.9,3057.0,100.0,0.0,0.0,0.0,4.948,193.78,1147.53,1146.82
169,4.886,1802.0,25.55,3061.0,100.0,0.0,0.0,0.0,4.886,197.63,1132.94,1150.32
170,4.939,1784.0,20.28,3059.0,100.0,0.0,0.0,0.0,4.939,188.69,1153.52,1153.36
171,4.919,1867.0,18.84,3057.0,100.0,0.0,0.0,0.0,4.919,191.4,1139.68,1146.09
172,4.898,1916.0,20.09,3060.0,100.0,0.0,0.0,0.0,4.898,186.44,1143.26,1139.84
173,4.914,1940.0,21.19,3057.0,100.0,0.0,0.0,0.0,4.914,188.69,1137.49,1153.07
174,4.927,1934.0,20.55,3058.0,100.0,0.0,0.0,0.0,4.927,188.75,1146.88,1144.32
175,4.916,1832.0,22.65,3058.0,100.0,0.0,0.0,0.0,4.916,194.19,1144.11,1147.75
176,4.892,1928.0,22.59,3060.0,100.0,0.0,0.0,0.0,4.892,189.86,1137.22,1141.37
177,4.905,1821.0,24.41,3061.0,100.0,0.0,0.0,0.0,4.905,198.32,1147.28,1149.9
178,4.918,1949.0,21.39,3057.0,100.0,0.0,0.0,0.0,4.918,192.18,1145.34,1151.38
179,4.943,1913.0,18.59,3055.0,100.0,0.0,0.0,0.0,4.943,190.41,1138.03,1142.12
180,4.935,1919.0,19.96,3055.0,100.0,0.0,716.0,0.61,4.935,192.27,1142.49,1153.15
181,4.995,1844.0,31.73,3057.0,100.0,0.0,0.0,0.0,4.995,199.82,1143.06,1145.59
182,4.901,1827.0,25.0,3062.0,100.0,0.003,713.0,0.63,4.904,191.54,1149.67,1150.06
183,4.955,1881.0,20.45,3056.0,100.0,0.0,0.0,0.0,4.955,195.9,1141.27,1145.86
184,4.854,1722.0,22.35,3042.0,98.47,0.0,0.0,0.0,4.854,162.31,1143.29,1150.0
185,4.925,1850.0,21.87,3059.0,100.0,0.0,0.0,0.0,4.925,187.48,1137.85,1156.62
186,4.959,1935.0,19.01,3055.0,100.0,0.0,0.0,0.0,4.959,190.51,1140.8,1145.1
187,4.915,1824.0,16.52,3057.0,100.0,0.0,0.0,0.0,4.915,193.8,1150.87,1139.53
188,4.888,1874.0,24.27,3061.0,100.0,0.0,0.0,0.0,4.888,191.39,1144.8,1152.52
189,4.941,1858.0,21.42,3058.0,100.0,0.0,0.0,0.0,4.941,195.12,1139.07,1150.15
190,5.021,1817.0,39.04,3068.0,100.0,0.0,0.0,0.0,5.021,186.29,1151.08,1152.86
191,4.918,1947.0,20.98,3057.0,100.0,0.0,0.0,0.0,4.918,191.14,1138.26,1146.91
192,4.921,1920.0,21.84,3056.0,100.0,0.0,0.0,0.0,4.921,195.76,1139.93,1143.02
193,4.926,1835.0,21.93,3060.0,100.0,0.0,0.0,0.0,4.926,195.76,1149.47,1151.75
194,4.96,1950.0,19.37,3055.0,100.0,0.0,0.0,0.0,4.96,192.64,1140.7,1142.96
195,4.942,1711.0,25.69,3064.0,100.0,0.0,0.0,0.0,4.942,201.88,1150.93,1153.53
196,4.919,1845.0,32.19,3061.0,100.0,0.0,0.0,0.0,4.919,193.96,1143.51,1149.88
197,4.944,1909.0,17.26,3055.0,100.0,0.0,0.0,0.0,4.944,193.46,1138.81,1139.8
198,4.902,1823.0,26.37,3062.0,100.0,0.0,0.0,0.0,4.902,198.77,1144.34,1157.79
199,4.955,1944.0,18.23,3055.0,100.0,0.0,0.0,0.0,4.955,191.09,1143.36,1144.18
200,4.992,1966.0,23.98,3054.0,100.0,0.0,714.0,0.41,4.992,194.46,1139.13,1146.74
201,4.953,1997.0,18.4,3055.0,100.0,0.0,0.0,0.0,4.953,194.31,1144.42,1137.38
202,4.931,1951.0,21.6,3056.0,100.0,0.0,0.0,0.0,4.931,192.71,1142.11,1149.03
203,4.94,1817.0,22.28,3058.0,100.0,0.0,0.0,0.0,4.94,196.84,1135.2,1149.13
204,4.921,1883.0,22.77,3058.0,100.0,0.0,0.0,0.0,4.921,191.46,1148.89,1148.98
205,4.924,1861.0,21.74,3058.0,100.0,0.0,0.0,0.0,4.924,194.52,1135.44,1139.82
206,4.933,1799.0,24.77,3061.0,100.0,0.0,0.0,0.0,4.933,197.03,1149.01,1157.67
207,4.886,1845.0,21.18,3061.0,100.0,0.0,0.0,0.0,4.886,194.42,1150.59,1142.51
208,4.945,1930.0,16.95,3055.0,100.0,0.0,0.0,0.0,4.945,191.08,1139.51,1152.36
