Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
271,3.241,1166.0,11.81,3179.0,100.0,0.0,0.0,0.0,3.241,1158.18,false
272,3.246,1168.0,11.44,3179.0,100.0,0.0,0.0,0.0,3.246,1160.18,false
273,3.229,1106.0,11.48,3179.0,100.0,0.0,0.0,0.0,3.229,1159.23,false
274,3.244,1162.0,11.7,3179.0,100.0,0.0,0.0,0.0,3.244,1157.93,false
275,3.231,1137.0,9.96,3179.0,100.0,0.0,0.0,0.0,3.231,1152.0,false
276,3.222,1132.0,7.98,3179.0,100.0,0.0,0.0,0.0,3.222,1158.41,false
277,3.244,1126.0,11.63,3179.0,100.0,0.0,0.0,0.0,3.244,1157.2,false
278,3.244,1158.0,11.62,3179.0,100.0,0.0,0.0,0.0,3.244,1150.74,false
279,3.236,1114.0,12.13,3179.0,100.0,0.0,0.0,0.0,3.236,1163.94,false
280,3.246,1169.0,11.81,3179.0,100.0,0.0,0.0,0.0,3.246,1154.95,false
281,3.25,1138.0,11.82,3179.0,100.0,0.0,0.0,0.0,3.25,1159.6,false
282,3.231,1144.0,11.62,3179.0,100.0,0.0,0.0,0.0,3.231,1156.37,false
283,3.243,1125.0,11.54,3179.0,100.0,0.0,0.0,0.0,3.243,1156.13,false
284,3.269,1155.0,17.99,3179.0,100.0,0.0,0.0,0.0,3.269,1152.69,false
