Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
173,3.312,1144.0,5.67,3172.0,100.0,0.0,0.0,0.0,3.312,1228.52
174,3.284,1102.0,5.75,3174.0,100.0,0.0,0.0,0.0,3.284,1209.0
175,3.303,1114.0,5.65,3173.0,100.0,0.0,0.0,0.0,3.303,1231.55
176,3.31,1129.0,6.06,3173.0,100.0,0.0,0.0,0.0,3.31,1224.2
177,3.328,1128.0,6.3,3172.0,100.0,0.0,0.0,0.0,3.328,1240.18
178,3.313,1120.0,5.76,3173.0,100.0,0.0,0.0,0.0,3.313,1225.41
179,3.304,1142.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.304,1218.23
180,3.315,1114.0,5.62,3172.0,100.0,0.0,0.0,0.0,3.315,1237.29
181,3.304,1133.0,5.96,3173.0,100.0,0.0,0.0,0.0,3.304,1218.45
182,3.32,1107.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.32,1234.75
183,3.302,1125.0,5.67,3173.0,100.0,0.0,0.0,0.0,3.302,1226.03
184,3.314,1126.0,5.73,3173.0,100.0,0.0,0.0,0.0,3.314,1224.98
185,3.311,1095.0,10.11,3173.0,100.0,0.0,0.0,0.0,3.311,1225.21
186,3.351,1121.0,5.96,3172.0,100.0,0.0,0.0,0.0,3.351,1232.26
187,3.305,1113.0,5.74,3173.0,100.0,0.0,0.0,0.0,3.305,1223.21
188,3.35,1127.0,6.2,3173.0,99.89,0.0,0.0,0.0,3.35,1231.07
189,3.306,1080.0,5.82,3173.0,100.0,0.0,0.0,0.0,3.306,1223.72
190,3.33,1134.0,5.8,3172.0,100.0,0.0,0.0,0.0,3.33,1223.97
191,3.33,1099.0,6.13,3172.0,100.0,0.0,0.0,0.0,3.33,1238.47
192,3.319,1121.0,5.71,3173.0,100.0,0.0,0.0,0.0,3.319,1226.77
193,3.31,1089.0,5.6,3173.0,100.0,0.0,0.0,0.0,3.31,1218.04
194,3.323,1133.0,6.46,3174.0,99.56,0.0,0.0,0.0,3.323,1223.46
195,3.341,1144.0,5.89,3172.0,100.0,0.0,0.0,0.0,3.341,1228.02
196,3.288,1131.0,7.16,3173.0,100.0,0.0,709.0,0.22,3.288,1234.08
197,3.338,1156.0,6.47,3173.0,99.81,0.0,0.0,0.0,3.338,1227.84
198,3.333,1102.0,6.41,3173.0,99.92,0.0,0.0,0.0,3.333,1227.33
199,3.323,1166.0,5.75,3173.0,100.0,0.0,0.0,0.0,3.323,1222.2
200,3.309,1094.0,5.6,3172.0,100.0,0.0,0.0,0.0,3.309,1236.72
201,3.341,1131.0,6.02,3173.0,100.0,0.0,0.0,0.0,3.341,1226.35
202,3.305,1107.0,5.52,3173.0,100.0,0.0,0.0,0.0,3.305,1223.53
203,3.342,1130.0,5.68,3172.0,100.0,0.0,0.0,0.0,3.342,1238.98
204,3.297,1098.0,7.23,3172.0,100.0,0.0,715.0,0.51,3.297,1233.36
205,3.326,1105.0,5.65,3173.0,100.0,0.0,0.0,0.0,3.326,1226.18
206,3.32,1100.0,5.95,3173.0,100.0,0.0,0.0,0.0,3.32,1227.71
207,3.31,1081.0,5.61,3173.0,100.0,0.0,0.0,0.0,3.31,1226.1
208,3.321,1137.0,5.8,3173.0,100.0,0.0,0.0,0.0,3.321,1224.86
209,3.305,1102.0,5.65,3173.0,100.0,0.0,0.0,0.0,3.305,1219.86
210,3.336,1142.0,6.16,3172.0,100.0,0.0,0.0,0.0,3.336,1235.57
211,3.32,1089.0,5.66,3173.0,100.0,0.0,0.0,0.0,3.32,1226.18
212,3.335,1101.0,5.77,3172.0,100.0,0.0,0.0,0.0,3.335,1230.73
213,3.301,1075.0,5.65,3173.0,100.0,0.0,0.0,0.0,3.301,1228.24
214,3.317,1118.0,5.61,3172.0,100.0,0.0,0.0,0.0,3.317,1226.88
215,3.347,1118.0,10.4,3172.0,100.0,0.0,0.0,0.0,3.347,1230.99
216,3.322,1120.0,6.67,3172.0,100.0,0.0,0.0,0.0,3.322,1234.46
217,3.343,1145.0,5.55,3172.0,100.0,0.0,0.0,0.0,3.343,1223.44
218,3.309,1108.0,5.75,3173.0,100.0,0.0,0.0,0.0,3.309,1227.44
219,3.341,1137.0,5.63,3172.0,100.0,0.0,0.0,0.0,3.341,1231.49
220,3.295,1078.0,5.8,3174.0,100.0,0.0,0.0,0.0,3.295,1217.35
221,3.315,1108.0,6.47,3173.0,100.0,0.0,0.0,0.0,3.315,1225.01
222,3.32,1160.0,13.81,3173.0,100.0,0.001,715.0,0.51,3.321,1218.29
223,3.31,1098.0,5.82,3173.0,100.0,0.0,0.0,0.0,3.31,1224.89
224,3.33,1124.0,5.77,3172.0,100.0,0.0,0.0,0.0,3.33,1236.63
225,3.302,1090.0,5.66,3173.0,100.0,0.0,0.0,0.0,3.302,1223.24
226,3.356,1149.0,5.84,3172.0,100.0,0.0,0.0,0.0,3.356,1238.03
227,3.335,1105.0,6.61,3172.0,100.0,0.0,0.0,0.0,3.335,1227.07
228,3.318,1108.0,5.78,3172.0,100.0,0.0,0.0,0.0,3.318,1231.43
229,3.34,1168.0,5.76,3173.0,100.0,0.0,0.0,0.0,3.34,1217.54
230,3.294,1119.0,5.8,3173.0,100.0,0.0,0.0,0.0,3.294,1231.93
231,3.347,1136.0,5.88,3172.0,100.0,0.0,0.0,0.0,3.347,1231.91
232,3.298,1101.0,5.5,3173.0,100.0,0.0,0.0,0.0,3.298,1224.48
233,3.285,1099.0,5.94,3173.0,100.0,0.0,0.0,0.0,3.285,1236.09
234,3.695,1191.0,6.46,3162.0,99.93,0.0,0.0,0.0,3.695,1233.01
235,3.32,1089.0,6.01,3173.0,100.0,0.0,0.0,0.0,3.32,1218.26
236,3.326,1127.0,5.87,3173.0,100.0,0.0,0.0,0.0,3.326,1230.76
237,3.307,1099.0,6.33,3173.0,100.0,0.0,0.0,0.0,3.307,1214.76
238,3.316,1110.0,6.22,3172.0,100.0,0.0,0.0,0.0,3.316,1233.98
239,3.356,1127.0,5.56,3171.0,100.0,0.0,0.0,0.0,3.356,1237.52
240,3.301,1096.0,5.86,3173.0,100.0,0.0,0.0,0.0,3.301,1217.61
241,3.324,1104.0,5.75,3172.0,100.0,0.0,0.0,0.0,3.324,1230.3
242,3.314,1137.0,5.52,3173.0,100.0,0.0,0.0,0.0,3.314,1232.06
243,3.287,1101.0,5.67,3173.0,100.0,0.0,0.0,0.0,3.287,1221.25
244,3.343,1131.0,5.82,3172.0,100.0,0.0,0.0,0.0,3.343,1226.25
245,3.349,1114.0,10.34,3173.0,100.0,0.0,0.0,0.0,3.349,1237.12
246,3.322,1091.0,5.87,3173.0,100.0,0.0,0.0,0.0,3.322,1225.71
247,3.359,1130.0,5.49,3172.0,100.0,0.0,0.0,0.0,3.359,1234.93
248,3.545,1174.0,77.44,3174.0,100.0,0.0,712.0,0.32,3.545,1220.46
249,3.35,1109.0,5.79,3172.0,100.0,0.0,0.0,0.0,3.35,1230.23
